track_uri,term,index,as_of_date
spotify:track:3F2BLyGt6zYLrHYpbdTw5L,medium_term,14,2024-02-10
spotify:track:6c1QaQHdDhtFMfUkhueuXK,medium_term,15,2024-02-10
spotify:track:3q5qpprtugUIEPExuI7tRD,medium_term,16,2024-02-10
spotify:track:3i7Z0CI7QIwnU4MVL0XJB9,medium_term,17,2024-02-10
spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,medium_term,18,2024-02-10
spotify:track:14nturKxV48wR3lbknehiu,medium_term,19,2024-02-10
spotify:track:3syxwxJqX5jpgjNYmvzdW6,medium_term,20,2024-02-10
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,medium_term,21,2024-02-10
spotify:track:4Pp6Ql9wV7A6VqHrmjMFv4,medium_term,22,2024-02-10
spotify:track:1IgRQvTqj7BKjNWRzjFEE0,medium_term,23,2024-02-10
spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,medium_term,24,2024-02-10
spotify:track:2uJEnyojuGg31VVlLTQFpp,medium_term,25,2024-02-10
spotify:track:3uI6jqO0fFBoFryc8SJOXw,medium_term,26,2024-02-10
spotify:track:4loUHO28CuvSbEiZXId1BD,medium_term,27,2024-02-10
spotify:track:3QSjVPObHxuAJc3E5nrjRn,medium_term,28,2024-02-10
spotify:track:1o844wI52S3TjXGBwvGcc7,medium_term,29,2024-02-10
spotify:track:3dbLT62Cvs46Ju7a8gpr36,medium_term,30,2024-02-10
spotify:track:4JmbtS0Muijl37KP9lDscy,medium_term,31,2024-02-10
spotify:track:4lQsB3ERTWSNaAN1IkuNRl,medium_term,32,2024-02-10
spotify:track:3OQWohbPUsvbXaH1AiRazX,medium_term,33,2024-02-10
spotify:track:5BCPIye83pj24VjCzQuL5F,medium_term,34,2024-02-10
spotify:track:5nTemr4PG8L9jQoqxsZu6w,medium_term,35,2024-02-10
spotify:track:6A1dCPrUYhg56ukp4zlEUw,medium_term,36,2024-02-10
spotify:track:6koMMQlsRWBwHZXdtWxgUk,medium_term,37,2024-02-10
spotify:track:1pvBm1ydKLXorYDdlIAeuj,medium_term,38,2024-02-10
spotify:track:4fg42mtrSFuKQ9NYBboiiN,medium_term,39,2024-02-10
spotify:track:4g6ZT8vgKNq4iyEbezr3yI,medium_term,40,2024-02-10
spotify:track:7uyeEbG6hyApgXuEypGcsZ,medium_term,41,2024-02-10
spotify:track:14jjsKr5HwNhZ18MJR5hYn,medium_term,42,2024-02-10
spotify:track:0jFHMDRXxKaREor3hBEEST,medium_term,43,2024-02-10
spotify:track:42UNd3AFYei50ztCyAKhWl,medium_term,44,2024-02-10
spotify:track:58ItBuVuKc03DvqSeZFnH1,medium_term,45,2024-02-10
spotify:track:1HnJhU3MhAnRQzdkFm6xQr,medium_term,46,2024-02-10
spotify:track:1MsWVb6YW3AknP1EAZaKOQ,medium_term,47,2024-02-10
spotify:track:3QiAAp20rPC3dcAtKtMaqQ,medium_term,48,2024-02-10
spotify:track:4z5aqQOYYsvjXuXjjhKVJ2,medium_term,49,2024-02-10
spotify:track:59TGiILFEI1NYSFcxyFiUZ,medium_term,50,2024-02-10
spotify:track:0aUWfpD3PlSv3FTTKcT2rN,short_term,1,2024-02-10
spotify:track:1hYQUY06GbO7YR8QeO7Qdk,short_term,2,2024-02-10
spotify:track:73SpzrcaHk0RQPFP73vqVR,short_term,3,2024-02-10
spotify:track:3qWCIDzq2fBeCMNOL27XLX,short_term,4,2024-02-10
spotify:track:4C7PyWUlTLUUgVZQVboCma,short_term,5,2024-02-10
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,short_term,6,2024-02-10
spotify:track:1mdtLny0zugh89vokWGG80,short_term,7,2024-02-10
spotify:track:1oew3nFNY3vMacJAsvry0S,short_term,8,2024-02-10
spotify:track:1pZn8AX1WulW8IO338hE5D,short_term,9,2024-02-10
spotify:track:1ukyvyEeSg1odSQvhlRAIU,short_term,10,2024-02-10
spotify:track:1xicvSO4CJ2ymqYgpk7DFh,short_term,11,2024-02-10
spotify:track:22sIPXiQzcPydCC6skPPPq,short_term,12,2024-02-10
spotify:track:2M7EflZCPCqqRLB9hy5MDy,short_term,13,2024-02-10
spotify:track:2ZfnsQ81jNuY4MHAshnxyp,short_term,14,2024-02-10
spotify:track:38zsOOcu31XbbYj9BIPUF1,short_term,15,2024-02-10
spotify:track:3Wu4lFjkhcXxB6WWaX9gtr,short_term,16,2024-02-10
spotify:track:3cGp1jXxLReLKz7QgVbWZR,short_term,17,2024-02-10
spotify:track:3i7Z0CI7QIwnU4MVL0XJB9,short_term,18,2024-02-10
spotify:track:42UNd3AFYei50ztCyAKhWl,short_term,19,2024-02-10
spotify:track:45h4cCw7ccsRXb0Orle2an,short_term,20,2024-02-10
spotify:track:4fg42mtrSFuKQ9NYBboiiN,short_term,21,2024-02-10
spotify:track:4smkJW6uzoHxGReZqqwHS5,short_term,22,2024-02-10
spotify:track:65ZHlbTuPrZggbmYCVjPL4,short_term,23,2024-02-10
