name,collaborative,public,uri,image_url,owner
K-Pop Favorites,False,True,spotify:playlist:1ZbxKv1noxwZ4zFgRNEFIo,https://mosaic.scdn.co/640/ab67616d00001e024ed058b71650a6ca2c04adffab67616d00001e026772cf096be8acc1df092519ab67616d00001e028c4a282e84a53c1c8acf129aab67616d00001e02d8cc2281fcd4519ca020926b,jbrown1.618
Ballet,False,True,spotify:playlist:23temGx5UrTk2wboAvEb0v,https://i.scdn.co/image/ab67616d00001e023620c09ca7ca202e676b783b,jbrown1.618
Beat Drop!,False,True,spotify:playlist:2CV3LAEvICWmWq3SEJw1my,https://mosaic.scdn.co/640/ab67616d00001e027a393b04e8ced571618223e8ab67616d00001e0286ca91e718866f411c01db5eab67616d00001e02c8b444df094279e70d0ed856ab67616d00001e02ce4f1737bc8a646c8c4bd25a,jbrown1.618
Check Out Later,False,True,spotify:playlist:2FgMW8NMJOZgvHtvDOWBCe,https://mosaic.scdn.co/640/ab67616d00001e02b898e1af5571ea5402fdd764ab67616d00001e02e5d079704778dc9534c73a91ab67616d00001e02e7b975daf944ff0d1ffce056ab67616d00001e02fdeffdb0cd2b8bb696319e8c,jbrown1.618
Mozart,False,True,spotify:playlist:2MCvxVYbyzdWBgpnuRWsuM,https://i.scdn.co/image/ab67616d00001e02fdf2a7d7437db7a75da73167,jbrown1.618
Recent Comebacks,False,True,spotify:playlist:2UAy7fw8nOjoJvFsNZtjbI,https://mosaic.scdn.co/640/ab67616d00001e0242281601a5a3f882ea77741eab67616d00001e025048ed32fafe7b9a50d0e410ab67616d00001e0256035da9eacd668ffdfacb36ab67616d00001e02bd8c739ce7e59ae9414c7a26,jbrown1.618
Sharon RPD,False,True,spotify:playlist:2WsAAjnlcRAzyPrBDvMYyy,https://mosaic.scdn.co/640/ab67616d00001e02830de2e836036f181df598d0ab67616d00001e02af2fda9fb591d43c355c2ac3ab67616d00001e02cc6f76f75551af499b5cd0cbab67616d00001e02da343b21617aac0c57e332bb,jbrown1.618
Bach,False,True,spotify:playlist:2fkIDMzy3H9JWLKHnULX7s,https://i.scdn.co/image/ab67616d00001e02261feb89ee859b598bd34a97,jbrown1.618
Cursed English,False,True,spotify:playlist:2tPCDZMU74TGOBGdNdVDBs,https://mosaic.scdn.co/640/ab67616d00001e022270d3bd1d13133edf0be836ab67616d00001e026017bca98dea58ceddea77c1ab67616d00001e02a0df2d59f0ae9426cba3eb36ab67616d00001e02cd723e6efb66f6ef28fac28e,jbrown1.618
International Pop,False,True,spotify:playlist:36OHPiYrLGYMfVa0zcHgLf,https://mosaic.scdn.co/640/ab67616d00001e022433cb43f0f2f0f23b7c8b82ab67616d00001e023a44a5105549a15dd92ed0c3ab67616d00001e024ccc03169b086af698178a99ab67616d00001e029922157daa474131bb3a0fbc,jbrown1.618
Repeat Rewind,False,True,spotify:playlist:37i9dQZF1EpOIeFxMXFVG6,https://daily-mix.scdn.co/covers/backtracks/PZN_Repeat_Rewind2_DEFAULT-en.jpg,spotify
On Repeat,False,True,spotify:playlist:37i9dQZF1EpoN98LF1Ruyl,https://daily-mix.scdn.co/covers/on_repeat/PZN_On_Repeat2_DEFAULT-en.jpg,spotify
Your Top Songs 2022,False,True,spotify:playlist:37i9dQZF1F0sijgNaJdgit,https://wrapped-images.spotifycdn.com/image/yts-2022/default/your-top-songs-2022_default_en.jpg,spotify
Your Top Songs 2023,False,True,spotify:playlist:37i9dQZF1Fa1IIVtEpGUcU,https://wrapped-images.spotifycdn.com/image/yts-2023/default/your-top-songs-2023_DEFAULT_en.jpg,spotify
Vivaldi,False,True,spotify:playlist:39dOiLs9ZbssQvs9xLBRzw,https://i.scdn.co/image/ab67616d00001e0287f25f9e50f7da18f3434bde,jbrown1.618
Workout,False,True,spotify:playlist:3NYClOhoC6ZSipLJBTsZfO,https://mosaic.scdn.co/640/ab67616d00001e026f248f7695eb544a3a1955c5ab67616d00001e027a393b04e8ced571618223e8ab67616d00001e028acb7bac073f378d59bf228eab67616d00001e02b3be3b970fc89a02f301c9da,jbrown1.618
Singer-Songwriter,False,True,spotify:playlist:3aNr3GFiAvm1utXDyFOpAR,https://mosaic.scdn.co/640/ab67616d00001e02022b4010e20659300f42c375ab67616d00001e020e402844f1b6be3102d339f2ab67616d00001e02119ad2ebc0d33edf847ed8c6ab67616d00001e021946747b8692919f98918ec4,jbrown1.618
Debussy,False,True,spotify:playlist:3bJkc96LYMneTHBCS80BAl,https://i.scdn.co/image/ab67616d00001e025d026bccbd8a50650e903130,jbrown1.618
Electronic,False,True,spotify:playlist:3cWXIQgqhOUB6slIr3oglt,https://mosaic.scdn.co/640/ab67616d00001e0248905438b9c1153978d9fbf4ab67616d00001e0279e8b529ce6c088a8027b2a1ab67616d00001e029b9b36b0e22870b9f542d937ab67616d00001e02d8601e15fa1b4351fe1fc6ae,jbrown1.618
K-Memes,False,True,spotify:playlist:3tRZYaAFqIagumJLpKXUp9,https://mosaic.scdn.co/640/ab67616d00001e0220adea47ebd9e98d2e7d2247ab67616d00001e022ce067b763f6a4938cb8a501ab67616d00001e02583c60000e8abc8283853e10ab67616d00001e0273e21d92fa8c70ce6aba72d0,jbrown1.618
Alt-Pop,False,True,spotify:playlist:4DgMab6SK9pnl6P05fw2YI,https://mosaic.scdn.co/640/ab67616d00001e0298d4c378a8c78e84bfcf7743ab67616d00001e02b0ed835957dbf3c63184a3bcab67616d00001e02ca96a3471c3cb5128e64195fab67616d00001e02f6749fd9a1027b244f061e87,jbrown1.618
누구?,False,True,spotify:playlist:4JrgU3rcLuATwzM1jVVgyC,https://mosaic.scdn.co/640/ab67616d00001e021f5de98907a7f969ea7c28dbab67616d00001e02992cdb975f91efd91b998628ab67616d00001e02addef7fad07f17acdf7d6b98ab67616d00001e02e827c21f833661043f8dd588,jbrown1.618
Soundtracks,False,True,spotify:playlist:4KUbAosEwUeOuYQ4gRIxCA,https://mosaic.scdn.co/640/ab67616d00001e02128ca6b63d83d47c909a43ceab67616d00001e02468aa4af7cc9ee85735755a2ab67616d00001e028236dee9524214e0e6be4a1fab67616d00001e02dae458513b856d6255f857a7,jbrown1.618
Relax,False,True,spotify:playlist:4rnlD7JdUQNdPCBhL69dCg,https://mosaic.scdn.co/640/ab67616d00001e021c3e0a58f3ee28af2922e351ab67616d00001e024ed058b71650a6ca2c04adffab67616d00001e02d5d11b6ac4242aaa41c8be69ab67616d00001e02d8856d19e1f5784ed643d862,jbrown1.618
Musicals,False,True,spotify:playlist:54LRPekls9oCtaWOnmM3N0,https://mosaic.scdn.co/640/ab67616d00001e0211213770e112f78d4075b61fab67616d00001e022f8d9427fea9dd36a4fb4f1bab67616d00001e0267a1610b21721a06ed7d378eab67616d00001e02d72fb5571087bca0a2fed008,jbrown1.618
Jazz,False,True,spotify:playlist:58yLhLYn4iDQPCN53MfiDI,https://mosaic.scdn.co/640/ab67616d00001e02792cd65d020fd66224b5b025ab67616d00001e02807cc4e6a97c1a67c8b69803ab67616d00001e02a1113af3a19a41dc8eec534eab67616d00001e02cb81eb3c1238c60f2bbfd3b5,jbrown1.618
K-Pop-Adjacent,False,True,spotify:playlist:5ELtUGtTCv5PkLW7qFcEuk,https://mosaic.scdn.co/640/ab67616d00001e023317fc12f8b9a9a0b8459766ab67616d00001e0263e0ddbb488d0eeec0e738fcab67616d00001e0284095737f6056e682666d6f9ab67616d00001e02f2bf9685109a09bdc176fb43,jbrown1.618
Recommendations for Jeff,False,True,spotify:playlist:5Liek0UOC5GmdOjxdWhcob,https://mosaic.scdn.co/640/ab67616d00001e024897a7925914a3a10ce68c31ab67616d00001e024ed058b71650a6ca2c04adffab67616d00001e02bf5f4138ebc9ba3fd6f0cde9ab67616d00001e02d8856d19e1f5784ed643d862,jbrown1.618
K-R&B,False,True,spotify:playlist:5dr8e1QSb4e5pnMwT79MGd,https://mosaic.scdn.co/640/ab67616d00001e0255d0265cc488deebe40d79a6ab67616d00001e0278551e802bd7b81d7af67dfbab67616d00001e02ae46d76700c51479a66e8c34ab67616d00001e02bc8e5c838dd8564b5a4f1453,jbrown1.618
Classic Rock,False,True,spotify:playlist:5z6MnUYwnqrMcdd9b14Cc7,https://mosaic.scdn.co/640/ab67616d00001e020b51f8d91f3a21e8426361aeab67616d00001e0284243a01af3c77b56fe01ab1ab67616d00001e028cffbbb7fe8645a486a85ea9ab67616d00001e02bbf0146981704a073405b6c2,jbrown1.618
Chopin,False,True,spotify:playlist:630IicjdF4RLyaOqIXm0jm,https://mosaic.scdn.co/640/ab67616d00001e024215d2bfa2e73ae057165347ab67616d00001e028a9c1224da995cb33a8cb3d5ab67616d00001e02b5fcd6996bf050f9f9010d3aab67616d00001e02da673657374e88d973dad080,jbrown1.618
Halloween,False,True,spotify:playlist:6Kh7qnaefCcgcBdJJryJKp,https://mosaic.scdn.co/640/ab67616d00001e023613e1e0d35867a0814005a9ab67616d00001e024a8e5eaab8b02db02e487c27ab67616d00001e0259fcda8d47bbd0f6c2bf1647ab67616d00001e028bc3d61189d95da5f74d7ba7,jbrown1.618
Beethoven,False,True,spotify:playlist:6Lvj5MXaiMrmyaBnvLvxAW,https://i.scdn.co/image/ab67616d00001e02c18e2114a3a3ef543635197a,jbrown1.618
Country/Folk,False,True,spotify:playlist:6M7uIRzByJjX0q7wGcujJo,https://mosaic.scdn.co/640/ab67616d00001e0203668e3f13559554eca8ccc6ab67616d00001e025726e327fd968a6fb5974350ab67616d00001e02724bd326692d222c5906b0b0ab67616d00001e02aa2ce07c8b78b4c96f604734,jbrown1.618
