name,popularity,explicit,duration_ms,uri,album_uri,isrc
Lion Heart,62,False,224257,spotify:track:405SQUJdQut02dxtuQ0CZ3,spotify:album:4eKdn0skJCidO2wqIJyCgB,KRA301500422
"Symphony No. 9 In D Minor, Op. 125 - ""Choral"": 3. Adagio molto e cantabile - Live At Philharmonie, Berlin / 1983",11,False,954000,spotify:track:40B0GnYt2DIhhKESOtFFjH,spotify:album:2DQTNTznsteIZciZdyeWdj,DEF058301124
Perfect Night (Holiday Remix),66,False,162336,spotify:track:40CJrEAyXS8qe0BBFbYbJO,spotify:album:0YaaIvxu7OH0OxUSnM9WFH,USA2P2356852
It's Quiet Uptown,64,False,270171,spotify:track:40LYL1Z6xgCn5cBybo5K0D,spotify:album:1kCHru7uhxBUdzkm4gzRQc,USAT21502636
Kei's Song,35,False,279426,spotify:track:40MaRkOGKqpxFuL1Jd73RW,spotify:album:404TYwH2T33GbA9LdIT9fR,USGR18700040
LION,66,False,210973,spotify:track:40OyiVO9NtBg9R2Gpwxs3u,spotify:album:57sl8AvqVqm4Fadre0z8FQ,KRA491901000
"Me, Myself & I",79,True,251466,spotify:track:40YcuQysJ0KlGQTeGUosTC,spotify:album:09Q3WwGYsQe5ognkvVkmCu,USRC11502210
Alone,56,False,206266,spotify:track:40gUfKHwCNLpXowFN9Hvsu,spotify:album:5PXVRXQIPAXH0j78MfeDrV,KRA381200894
Cry for Me,53,False,189133,spotify:track:40nPimvmG05WYS7983bawZ,spotify:album:2dq4ae5hiyxlFPG1s8rlq5,USSM11912002
"String Quartet No. 10 in E-Flat Major, Op. 74 ""Harp"": IV. Allegretto con Variazioni",2,False,405733,spotify:track:40oN50qAShuDPpHz2ECp0f,spotify:album:4JhUG1lr4xztAcqyA0Jm3a,USHM10746004
Hotel California - 2013 Remaster,85,False,391376,spotify:track:40riOy7x9W7GXjyGp4pjAv,spotify:album:2widuo17g5CEC66IbzveRu,USEE11300353
Motley Crew,76,True,184213,spotify:track:40uMIn2zJLAQhNXghRjBed,spotify:album:4tokbQaFXRrq8keVGBD9vb,USUM72111566
Grey Suit,51,False,222893,spotify:track:40wEuG76R9nFumrBp6PHwm,spotify:album:7tZyxlG9PNEBwrxMbIJdoB,KRA302200065
Dog Days Are Over,33,False,252853,spotify:track:416zj01H28D6uQP43LL6x3,spotify:album:2KAK58PimXHF4lSoKO3RxA,GBUM70900209
Worth It (feat. Kid Ink),75,False,224573,spotify:track:41Fflg7qHiVOD6dEPvsCzO,spotify:album:0zAsh6hObeNmFgFPrUiFcP,USSM11406644
People Pt.2 (feat. IU),77,False,213995,spotify:track:41JPN7pZMTp1sumBOHOzHd,spotify:album:446ROKmKfpEwkbi2SjELVX,USA2P2310695
Bang Bang,0,False,201813,spotify:track:41O5Dh0QQF7x8djeNhCHzK,spotify:album:2AOr4esohQurJGXklhRH1a,USE831526098
Le Sacre du Printemps - Revised version for Orchestra (published 1947) / Part 2: The Sacrifice: Ritual Action of the Ancestors,22,False,237240,spotify:track:41g1p1wDLuNnZNDLa13QIR,spotify:album:317b74rpNBO2uhaJFyMaxJ,DEF056331713
