name,uri,popularity,followers,image_url
Fitz and The Tantrums,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,66.0,875137.0,https://i.scdn.co/image/ab6761610000e5eb7ef3783488fcf0dab0708970
Orchestre Symphonique de Montréal,spotify:artist:4AcXapei4U7xnWecv9AEBd,52.0,12335.0,https://i.scdn.co/image/ab6761610000e5eb23c40a5ab7938f014b50cd73
Voices of Ascension Chorus,spotify:artist:4AjjMZxILxc83KJAEuwu9j,35.0,2303.0,https://i.scdn.co/image/ab67616d0000b27311abfb0cada077900447061b
Nkosazana Daughter,spotify:artist:4AnNB3lPD0Sv7ziKVHqI66,58.0,270673.0,https://i.scdn.co/image/ab6761610000e5eb9ba4584e515db2e33c8b920d
Sam Kim,spotify:artist:4BBN286rBKyCWsSPq2cxYO,57.0,445553.0,https://i.scdn.co/image/ab6761610000e5eb18c434d49d7d2f82199fde6d
Vladimir Mostovoy,spotify:artist:4BTanscTBWJOSpvceZSVSi,21.0,52.0,https://i.scdn.co/image/ab67616d0000b273d516176f7ccedbc5add27d63
Donna King,spotify:artist:4BlarH2Qbfhc3DR4LhHrqp,21.0,17.0,
Fred Astaire,spotify:artist:4BtDAwCZhR6nPrJtbVgQNX,48.0,148487.0,https://i.scdn.co/image/0c71c5da42ae79df947f67293389d0dcb43968da
Anjulie,spotify:artist:4DTbdShHu2RPYEEMUp2XWV,54.0,36837.0,https://i.scdn.co/image/ab6761610000e5ebdbef9dcf953d83b3faee5904
dori,spotify:artist:4Db1gte7TUAeZyRdo4FLE7,44.0,30414.0,https://i.scdn.co/image/ab6761610000e5eb8710e81206a88916a269edd4
Offset,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,79.0,3492118.0,https://i.scdn.co/image/ab6761610000e5eb628143c3dd14fc995f925d56
Randy Waldman,spotify:artist:4DoFQoqKcSPw8CSzyh7trt,27.0,1577.0,https://i.scdn.co/image/6e6382aacddd7daad02fe915b77644798884c9e5
DKB,spotify:artist:4DoedGw38ubJdAT1edFsIx,35.0,156249.0,https://i.scdn.co/image/ab67616d0000b273901cc407ae13ee0006324bee
Ilene Woods,spotify:artist:4DovRSplr3yJIeE3r0RtHj,47.0,27132.0,https://i.scdn.co/image/ab67616d0000b2731d1df30dba74b61672934440
Brandeis VoiceMale,spotify:artist:4DsnXPBijq5tMq5zAEfF1L,1.0,398.0,https://i.scdn.co/image/ab67616d0000b27355cb82b820bf54a6ed13a080
Eddie Redmayne,spotify:artist:4EJP6Qhk6l18LumCcpEfLw,45.0,39882.0,https://i.scdn.co/image/2f27b88be41ed8e21e7db0cf192385c14736f8a0
Fleet Foxes,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,63.0,1324006.0,https://i.scdn.co/image/ab6761610000e5eb7d2e812e63d6df77ee087b47
Duke Ellington,spotify:artist:4F7Q5NV6h5TSwCainz8S5A,58.0,853002.0,https://i.scdn.co/image/1e24691a352233bbe989a311d921f17e7892a87e
Lee Hyori,spotify:artist:4FjoOJAndC0s9ZJUo6VGc5,38.0,68602.0,https://i.scdn.co/image/ab6761610000e5ebe8787a3a4c0224f2fd670b5b
The Foundations,spotify:artist:4GITZM5LCR2KcdlgEOrNLD,59.0,99271.0,https://i.scdn.co/image/ab6761610000e5eb6a2235c7e50d72aef06b7f66
FIFTY FIFTY,spotify:artist:4GJ6xDCF5jaUqD6avOuQT6,70.0,1443720.0,https://i.scdn.co/image/ab6761610000e5eb5a60b0f886b5deb8518e4a41
Sir Simon Rattle,spotify:artist:4GQwgdcDQwqtcHICjUNndp,68.0,50969.0,https://i.scdn.co/image/3460fd826c1cc058c4c4134e6c695e00dcf89fa6
Mndsgn,spotify:artist:4GcpBLY8g8NrmimWbssM26,49.0,153128.0,https://i.scdn.co/image/ab6761610000e5eb6be533248c7e096ab0119387
Jasmine Cephas-Jones,spotify:artist:4H3e5t5utgPvj6Nsuda5QF,52.0,37142.0,https://i.scdn.co/image/ab6761610000e5ebdadd425aa549ca2ffba08519
Gregorio Allegri,spotify:artist:4I47QTluHCo2t2Gj6V7AIG,41.0,15865.0,https://i.scdn.co/image/ab67616d0000b273a68a328440fd75546e32b42c
