artist_uri,genre
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,funk rock
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,permanent wave
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,rock
spotify:artist:0L8jXe7QeS9oYUoXbANmX4,modern rock
spotify:artist:0L8jXe7QeS9oYUoXbANmX4,piano rock
spotify:artist:0L8jXe7QeS9oYUoXbANmX4,pov: indie
spotify:artist:0LKgClZwZKGhM5BkCzjfMX,college a cappella
spotify:artist:0LOK81e9H5lr61HlGGHqwA,k-pop girl group
spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,europop
spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,swedish pop
spotify:artist:0LtVJXnPR8msCJiE2DjHxy,movie tunes
spotify:artist:0LzeyDrlLtuyBqMSBN4z3U,lo-fi vgm
spotify:artist:0LzeyDrlLtuyBqMSBN4z3U,pixel
spotify:artist:0LzeyDrlLtuyBqMSBN4z3U,vgm remix
spotify:artist:0M3eRYg8ULjCtLFvhc5Orb,k-pop girl group
spotify:artist:0MBNzfGHTiPYag4DupDXUj,nyc pop
spotify:artist:0MHgLfmQdutffmvWe5XBTN,adult standards
spotify:artist:0MHgLfmQdutffmvWe5XBTN,american folk revival
spotify:artist:0N0dbr5s2y20PAo2cDAeVP,movie tunes
spotify:artist:0NztgA9b1KEJLjLVqMwd9y,k-pop
spotify:artist:0NztgA9b1KEJLjLVqMwd9y,k-pop boy group
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,canadian classical
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,canadian soundtrack
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,middle earth
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,orchestral soundtrack
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,scorecore
spotify:artist:0OcclcP5o8VKH2TRqSY2A7,soundtrack
spotify:artist:0P0do9GwiSgweSF6Ui3mrv,movie tunes
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,album rock
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,classic rock
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,hard rock
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,mellow gold
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,rock
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,soft rock
spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,yacht rock
spotify:artist:0PzFyYSC4Y7JarVyByrJPc,a cappella
spotify:artist:0Q5XzDpn7DCI5jlubok4xb,k-rap
spotify:artist:0QWrMNukfcVOmgEU0FEDyD,uk alternative pop
spotify:artist:0Qr4St9aCOLu41Nt5QZIz1,k-rap
spotify:artist:0RH6EMxqfzCEB7QCSKQ4xr,movie tunes
spotify:artist:0RkqytrwoGyXGvDiZwT6i2,soundtrack
spotify:artist:0RpddSzUHfncUWNJXKOsjy,modern rock
spotify:artist:0RpddSzUHfncUWNJXKOsjy,neo mellow
spotify:artist:0RpddSzUHfncUWNJXKOsjy,pop rock
spotify:artist:0RpddSzUHfncUWNJXKOsjy,pov: indie
spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,europop
spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,new wave pop
spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,soft rock
spotify:artist:0Sadg1vgvaPqGTOjxu0N6c,k-pop
spotify:artist:0Sadg1vgvaPqGTOjxu0N6c,k-pop girl group
spotify:artist:0TImkz4nPqjegtVSMZnMRq,atl hip hop
spotify:artist:0TImkz4nPqjegtVSMZnMRq,contemporary r&b
spotify:artist:0TImkz4nPqjegtVSMZnMRq,dance pop
spotify:artist:0TImkz4nPqjegtVSMZnMRq,girl group
spotify:artist:0TImkz4nPqjegtVSMZnMRq,hip pop
spotify:artist:0TImkz4nPqjegtVSMZnMRq,r&b
spotify:artist:0TImkz4nPqjegtVSMZnMRq,urban contemporary
spotify:artist:0TnOYISbd1XYRBk9myaseg,dance pop
spotify:artist:0TnOYISbd1XYRBk9myaseg,miami hip hop
spotify:artist:0TnOYISbd1XYRBk9myaseg,pop
spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,permanent wave
spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,soft rock
spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,sophisti-pop
spotify:artist:0UntV1Bw2hk3fbRrm9eMP6,k-pop
spotify:artist:0W0w607z3JEA1vXLz9FVGw,5th gen k-pop
spotify:artist:0W0w607z3JEA1vXLz9FVGw,k-pop boy group
spotify:artist:0X1f2U9bxiC3DhKA8OcvgG,k-pop girl group
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,indietronica
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,metropopolis
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,pop
spotify:artist:0X2BH1fck6amBIoJhDVmmJ,uk pop
spotify:artist:0X380XXQSNBYuleKzav5UO,alternative metal
spotify:artist:0X380XXQSNBYuleKzav5UO,alternative rock
spotify:artist:0X380XXQSNBYuleKzav5UO,cyberpunk
spotify:artist:0X380XXQSNBYuleKzav5UO,electronic rock
spotify:artist:0X380XXQSNBYuleKzav5UO,grunge
spotify:artist:0X380XXQSNBYuleKzav5UO,industrial
spotify:artist:0X380XXQSNBYuleKzav5UO,industrial metal
spotify:artist:0X380XXQSNBYuleKzav5UO,industrial rock
spotify:artist:0X380XXQSNBYuleKzav5UO,nu metal
spotify:artist:0X380XXQSNBYuleKzav5UO,post-grunge
spotify:artist:0X380XXQSNBYuleKzav5UO,rock
spotify:artist:0XATRDCYuuGhk0oE7C0o5G,k-pop
spotify:artist:0XATRDCYuuGhk0oE7C0o5G,k-pop girl group
spotify:artist:0XIKGBo9PnK1ApI5tZA60d,pop r&b
spotify:artist:0XIKGBo9PnK1ApI5tZA60d,r&b
