name,album_type,label,popularity,total_tracks,release_date,uri,image_url
Carolina State of Mind,single,Shawn Kuruganti and the Tarpeggios,0,1,2012-04-21,spotify:album:02UgXzVwEt8TOIEnHjbQ8W,https://i.scdn.co/image/ab67616d0000b2737fda048477919a77dfdc5bc8
青春修炼手册,single,WM Taiwan,34,4,2017-01-01,spotify:album:5sJB1R7udfChkgp5VRfY07,https://i.scdn.co/image/ab67616d0000b2733c5bfa54ae5e8312f5e0325a
Coño,single,Spinnin' Records,49,1,2020-07-03,spotify:album:1h3x5tLWXhf438Y5AK60Ml,https://i.scdn.co/image/ab67616d0000b2731d56717d1786e938a105b6df
Toys In The Attic,album,Columbia,65,9,1975-04-08,spotify:album:36IxIOGEBAXVozDSiVs09B,https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32
The Golden Echo,album,Warner Records,28,12,2014-08-15,spotify:album:66hoUkjxM7tVQwu7bZocwP,https://i.scdn.co/image/ab67616d0000b27369b3dd10eee85bb2652c3b05
1989,album,"Big Machine Records, LLC",72,13,2014-10-27,spotify:album:2QJmrSgbdM35R67eoGQo4j,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
MINISKIRT,single,FNC ENTERTAINMENT,44,4,2014-01-16,spotify:album:6esB2DBt46m38ZycDPsn8D,https://i.scdn.co/image/ab67616d0000b27336adcea4e93245f1fec547df
Me Gusta,single,Sony Music Latin,56,1,2020-01-13,spotify:album:4IcQ1ni07PmlOenqwf6MgG,https://i.scdn.co/image/ab67616d0000b273e71aaa885c4df5f0a92eab12
RED MOON,single,"RBW, Inc",50,6,2018-07-16,spotify:album:6GhELYbXRo1LOqRPOCsQrF,https://i.scdn.co/image/ab67616d0000b2734a8b951ff5979dc187340b1d
I AM...SASHA FIERCE,album,Music World Music/Columbia,63,16,2008-11-14,spotify:album:23Y5wdyP5byMFktZf8AcWU,https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef
My Beautiful Dark Twisted Fantasy,album,Roc-A-Fella,77,13,2010-11-22,spotify:album:20r762YmB5HeofjMCiPMLv,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f
Evils Theater,album,KarenT,38,11,2009-06-17,spotify:album:1UkodLwja64ZFXbehIWnEN,https://i.scdn.co/image/ab67616d0000b2738d6686937b604899a9347550
Girls - The 2nd Mini Album,album,Warner Records,70,9,2022-07-08,spotify:album:4w1dbvUy1crv0knXQvcSeY,https://i.scdn.co/image/ab67616d0000b273b3be3b970fc89a02f301c9da
Happy,single,SM Entertainment,33,1,2020-05-04,spotify:album:1nPB6o7EjGvUORXlnioEPk,https://i.scdn.co/image/ab67616d0000b273fb49e8c96b502707c691b3a3
Bando,single,Universal Music Italia srL.,40,1,2020-01-31,spotify:album:3UtdQcbHhNlEi79pS3282l,https://i.scdn.co/image/ab67616d0000b273ee7af6e271d04c728d8a47ba
NEW KIDS REPACKAGE : THE NEW KIDS,album,YG Entertainment,53,23,2019-01-07,spotify:album:6RZYa7F18bu7mmeT8qxWqh,https://i.scdn.co/image/ab67616d0000b2738b94794b8aa12407bf838d7d
Survivor,album,Columbia,55,18,2001-05-01,spotify:album:480AZOo2VQ1kf3GedAiKV9,https://i.scdn.co/image/ab67616d0000b2737c83e8f225e70de4bb866c96
One-reeler / Act IV,single,"OFF THE RECORD Entertainment, SWING Entertainment",55,6,2020-12-07,spotify:album:3gfl9D7cMW3K87YiMbqsWK,https://i.scdn.co/image/ab67616d0000b27348a03c11c71a265006e1b9e3
The Truth About Love,album,RCA Records Label,0,13,2012-09-14,spotify:album:0pqKb2y8h2BWS46HMfmEgD,https://i.scdn.co/image/ab67616d0000b2736096de812d8aa1bd22ab0cf2
We Sing. We Dance. We Steal Things.,album,Atlantic Records/ATG,69,12,2008-05-12,spotify:album:04G0YylSjvDQZrjOfE5jA5,https://i.scdn.co/image/ab67616d0000b2730f2e51f7121539e221c51161
Shatter Me,album,Lindseystomp Records,49,12,2014-04-29,spotify:album:2spbck4ETZz1aLq5Fi5phC,https://i.scdn.co/image/ab67616d0000b273cdb2461871ded49f97bc41c2
SEOULITE,single,YG Entertainment,48,4,2016-03-09,spotify:album:2c41Flo2HQgy0A9P3xuSFf,https://i.scdn.co/image/ab67616d0000b273298c56a4f6053a44b9bf968e
Goodbye Yellow Brick Road (Remastered),album,UMC (Universal Music Catalogue),67,17,1973-10-05,spotify:album:5WupqgR68HfuHt3BMJtgun,https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b
YES or YES,album,Republic Records - TWICE,56,7,2018-11-05,spotify:album:25VunQEW0x2W6ALND2Mh4g,https://i.scdn.co/image/ab67616d0000b273140ba24506e300382e08e6ec
Unorthodox Jukebox,album,Atlantic Records,78,10,2012-12-07,spotify:album:58ufpQsJ1DS5kq4hhzQDiI,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Échame La Culpa,single,Echame La Culpa PS,49,1,2017-11-17,spotify:album:2Tt0EzXpempSOIHFXVX42v,https://i.scdn.co/image/ab67616d0000b2732413b55cebef0c99396fd854
ALL OUT,single,Riot Games,63,5,2020-11-06,spotify:album:26IdRjba8f8DNa7c0FwfQb,https://i.scdn.co/image/ab67616d0000b273f2bf9685109a09bdc176fb43
Bear Creek,album,Columbia,51,13,2012-06-01,spotify:album:5b8YTIrc88vdnfRguZqvVE,https://i.scdn.co/image/ab67616d0000b273f5aac98410fb9e64e29827d4
The Ultimate Bee Gees,compilation,Bee Gees Catalog,52,40,2009-11-03,spotify:album:5GucSY3249qHDx4v1Hcxry,https://i.scdn.co/image/ab67616d0000b27322219b7ba681368a16c219fe
lovestrong.,album,Atlantic Records,60,13,2011-05-10,spotify:album:3XNK8vPk3O1rjhDZyOMJ6n,https://i.scdn.co/image/ab67616d0000b27326a2f5224465a369f8abbf88
Invitation,single,YMC Ent.,35,6,2012-10-16,spotify:album:61scVtZ044GUBV4rIvOcPQ,https://i.scdn.co/image/ab67616d0000b273feb430a900d634d1cbc987ad
"PTX Presents: Top Pop, Vol. I",album,RCA Records Label,47,11,2018-04-13,spotify:album:2viOlnLfhPLDgx7hvBqLwW,https://i.scdn.co/image/ab67616d0000b273a064dc21b8c8ebedfe4ea833
THE BADDEST,single,Riot Games,54,1,2020-08-27,spotify:album:7C8nskYbHG7N0LDrNVvt7x,https://i.scdn.co/image/ab67616d0000b2737158ec602fe6e8165cae6091
