album_uri,artist_uri
spotify:album:42NjSADnDs97o75bICIqs0,spotify:artist:0iidQFemlPhkoHqFroz2my
spotify:album:1rNGG2I3AKJy9FWqUiitkc,spotify:artist:0kbgyaL9g2Eba79p2jiYlN
spotify:album:02ae5i5UAoFrt2peVox9Xd,spotify:artist:0kkxsdcaWmWU2yWAqclDh4
spotify:album:0ZqZDky3PSbzKgHJzvSRuJ,spotify:artist:0nxWeW71DDYHY26V4LzMz9
spotify:album:7851Vsjv3apS52sXUik6iF,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
spotify:album:0COnSwFb5qOhABUyWNw6Kp,spotify:artist:0qlWcS66ohOIi0M8JZwPft
spotify:album:0PlSM2Hml1cFANnzYu6RCg,spotify:artist:0qlWcS66ohOIi0M8JZwPft
spotify:album:6keRNtq7CnhNrD2EIKOA6h,spotify:artist:0qlWcS66ohOIi0M8JZwPft
spotify:album:5wBnaUSaYmG7PH39bRIr1H,spotify:artist:0qmPs7q4bykvrS8NMZk7ud
spotify:album:11FzhwtOFCPB4vpgWo33xV,spotify:artist:0rfHUoEzQQO1BJwrnt8aIv
spotify:album:2OyVtIEp7O7a6o82DF4Ba5,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
spotify:album:43wpzak9OmQfrjyksuGwp0,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
spotify:album:7K4Nk5fHkCuzNm5A6mdo2U,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
spotify:album:478l1JdqbqDzcmmgrqw2zu,spotify:artist:0s0wG03kPyu7MXERfcuxim
spotify:album:5CjMjZJnjdHHgwAVkqrvXq,spotify:artist:0s0wG03kPyu7MXERfcuxim
spotify:album:1RzqZoXe1bf1f48PK20EeH,spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub
spotify:album:37mRfTDwQzVbHihypYY8oE,spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub
spotify:album:0CHOb7kkjkNRCpijTjPEiy,spotify:artist:0tzSBCPJZmHTdOA3ZV2mN3
spotify:album:484SKRaXGq7m9VV0rmSyeb,spotify:artist:0uQWT7X0I9Y7zM7WWexpAj
spotify:album:3fvFlaBBbAFO0QCrSTbfaU,spotify:artist:0vUnn6Eje2O5yxEj35touD
spotify:album:78V1vURpHgBC2SaU6ZbIYF,spotify:artist:0xHa28taiElkcQf9o3z76g
spotify:album:1TTxcgs3zEngN0EB56yXzY,spotify:artist:0yb46jwm7gqbZXVXZQ8Z1e
spotify:album:130MEXfaPjOmSkE18F9rJm,spotify:artist:0ztjVBmFk6OuHq6XBBwMI9
spotify:album:7pPVcx3O9eZrPCgBmpW5HV,spotify:artist:108ugtkRFQzP9nGgNiyERO
spotify:album:4vxOwoqNxefHAdZLWVrbmL,spotify:artist:10xsuRNvidaOLxWd3fRIel
spotify:album:0lw68yx3MhKflWFqCsGkIs,spotify:artist:12Chz98pHFMPJEknJQMWvI
spotify:album:1AP6uGYHdakRgwuWQsP5pK,spotify:artist:12Chz98pHFMPJEknJQMWvI
spotify:album:3KuXEGcqLcnEYWnn3OEGy0,spotify:artist:12Chz98pHFMPJEknJQMWvI
spotify:album:5FXIqS1XqbpfOKNoi5VUwS,spotify:artist:137W8MRPWKqSmrBGDBFSop
spotify:album:6bf0r561nSUanYZ9ej56Me,spotify:artist:13kJgvU22LHMsJtGWLmx7W
spotify:album:0VOMzswFy3fFsOb1tYs1Wd,spotify:artist:13rF01aOogvnkuQXOlgTW8
spotify:album:0kNUDDHwjpemplDqSZ72Ct,spotify:artist:13rF01aOogvnkuQXOlgTW8
spotify:album:2Ka8QpE2XUUjL4vOQihkJH,spotify:artist:13rF01aOogvnkuQXOlgTW8
spotify:album:3BPjJEl3GqXKDhYZf7iFfs,spotify:artist:13rF01aOogvnkuQXOlgTW8
spotify:album:6YfGgOaUnhs0A9brMqjpHf,spotify:artist:13rF01aOogvnkuQXOlgTW8
spotify:album:4JhUG1lr4xztAcqyA0Jm3a,spotify:artist:15G9RnBNBDCFUMANna2CvO
spotify:album:3tzHjGnv1WpG78SzgRKFIi,spotify:artist:15ptZqEJWDBnhVx6fqaCWV
spotify:album:0rmhjUgoVa17LZuS8xWQ3v,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
spotify:album:7sg5iqMiDrM2aJqLAmv83V,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
spotify:album:61haUqRaA5Et20JVbArrmU,spotify:artist:164Uj4eKjl6zTBKfJLFKKK
spotify:album:2ZcxORUFkzrpjZ7DrSmNkT,spotify:artist:16e7cTpnxHfo8KnwinUysN
spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,spotify:artist:181bsRPaVXVlUKXrxwZfHK
spotify:album:0a7Ut6OPSs8SvPDhFXL4ar,spotify:artist:19GI8I4UhSpBl8Y9XpKyT4
spotify:album:2g5alWoreAp8i1Jjz2XHr4,spotify:artist:19GI8I4UhSpBl8Y9XpKyT4
spotify:album:2oGYlZ7vte6lJ1MuwKKCeW,spotify:artist:19GI8I4UhSpBl8Y9XpKyT4
spotify:album:3WHqaCZ66SWzL7LyYnrn9y,spotify:artist:19nzpbhd3Yv5PQXtWKZkhX
spotify:album:0ZeOyoJHPD6czbTPAT9Qaj,spotify:artist:19ra5tSw0tWufvUp8GotLo
spotify:album:34K1Kvskt9arWy8E1Gz3Lw,spotify:artist:19ra5tSw0tWufvUp8GotLo
spotify:album:3coLNlyStg9h7f8CZ103Rl,spotify:artist:19ra5tSw0tWufvUp8GotLo
