name,popularity,explicit,duration_ms,uri,album_uri
Shut Down,76,False,175889,spotify:track:0ARKW62l9uWIDYMZTUmJHF,spotify:album:7jaSNQUBJbvfbZHLNFrV7P
Travelin' Soldier,62,False,343496,spotify:track:0AkZjWYCMJ8wWiNex7LmkY,spotify:album:1zgQkZFMRqx1Lz9GVXghLt
"String Quartet No. 5 in A Major, Op. 18 No. 5: II. Menuetto - Trio",4,False,274826,spotify:track:0AtBrNtW0crqbSyUtwNykS,spotify:album:37iUq5Dekt8uP5itTiVs2Q
U,48,False,224466,spotify:track:0AtHUIDAkXWgpbD0QkyKgi,spotify:album:2fy01jwC0GrnBGQ4Crcnve
"Die Zauberflöte, K.620 / Act 2: Der Hölle Rache kocht in meinem Herzen (Königin der Nacht)",0,False,179000,spotify:track:0B6iCn4MMDxJcITauM59XQ,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
Clocks,78,False,307879,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,spotify:album:0RHX9XECH8IVI3LNgWDpmQ
Meleğim,61,False,220280,spotify:track:0BD9boQC7jUTWkAoib4Z0d,spotify:album:6tGI9MGbLjbxyzcxYkMXPJ
SCIENTIST,66,False,194600,spotify:track:0BJMgVrnWIvgYsjq8KaPeh,spotify:album:5052Ip89wdW8EGdpjEpNeq
Alcohol-Free,68,False,210573,spotify:track:0BTaaKT4RMbs5M73tOHX5Y,spotify:album:00vb6sViDbJLmLLchfbRh4
Very Very Very,55,False,203640,spotify:track:0BhMw9r3eOLMLXRFBLCt6O,spotify:album:2YyowuE62RMWFtBSa2EO7r
Don't Stop The Music,79,False,267080,spotify:track:0ByMNEPAPpOR5H69DVrTNy,spotify:album:3JSWZWeTHF4HDGt5Eozdy7
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",56,False,415813,spotify:track:0CJuLeZpCdqrqoCMXWZw8k,spotify:album:54Awn36ryf55PkZyOR4iwQ
Beatbox,67,False,205133,spotify:track:0CatzXH85XWyBqqdB6qPMB,spotify:album:4sM1qNxjzxOvoH6jeFHx3W
Galop Marquis,6,False,41466,spotify:track:0CeyjRUCfoltQmSTVL1h3M,spotify:album:19ofW4fqCAR2uQJKVWw6L6
"Piano Sonata No. 1 in F Minor, Op. 2, No. 1: II. Adagio",15,False,285093,spotify:track:0Ch2tX7Twc0dIahY3DSLD5,spotify:album:5CjMjZJnjdHHgwAVkqrvXq
"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto",10,False,163253,spotify:track:0CmKuDto0oNAYzBOzjDjqV,spotify:album:4YpaKMCcb65yOoee75UUOh
Panorama,65,False,222853,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,spotify:album:3gfl9D7cMW3K87YiMbqsWK
Love Me Like You Do,74,False,253520,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,spotify:album:4w0N1CaZwQ5RPIuawqlYyy
Why Can't You Love Me?,44,False,168960,spotify:track:0CyydmXI4QhgUWrZsPOTXA,spotify:album:1Ao5vWPO13f4l0ldwxOKL7
Savior (feat. B.I),52,False,215560,spotify:track:0DYvTdqBqW6erA1a7pFzVo,spotify:album:1DKgZeAYrjslAPZVMe6EFt
"Piano Sonata No. 32 in C Minor, Op. 111: I. Maestoso - Allegro con brio ed appassionato",2,False,584920,spotify:track:0DfiTn1LUUcaLHYMDofEv7,spotify:album:478l1JdqbqDzcmmgrqw2zu
One More Time,73,False,320357,spotify:track:0DiWol3AO6WpXZgp0goxAV,spotify:album:2noRn2Aes5aoNVsU6iWThc
You Oughta Know,53,True,249200,spotify:track:0Dw9z44gXhplDh5HCWZIxP,spotify:album:09AwlP99cHfKVNKv4FC8VW
"Tarantelle In A Flat, Op. 43",3,False,182800,spotify:track:0Dy23NaykLsmz6VM0lUJ9e,spotify:album:19ofW4fqCAR2uQJKVWw6L6
You've Got The Love,22,False,168666,spotify:track:0DyToChmZxd4js5BY9Jf2G,spotify:album:2KAK58PimXHF4lSoKO3RxA
"String Quartet No. 10 in E-Flat Major, Op. 74 ""Harp"": III. Presto - Più presto quasi prestissimo",1,False,304800,spotify:track:0EJIwpF1aRZ7vW9ihTlb5T,spotify:album:4JhUG1lr4xztAcqyA0Jm3a
Ridin',57,False,201773,spotify:track:0EMD15EVNwDlgGH2CH6ZEL,spotify:album:1V5ilz8ghPl1PZJA1hbw3r
UN DIA (ONE DAY) (Feat. Tainy),70,False,232253,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,spotify:album:6aqSlutLYNpzSsK4dV5jTr
"Piano Sonata No. 28 in A, Op. 101: 3. Langsam und sehnsuchtsvoll (Adagio ma non troppo, con affetto)",1,False,623800,spotify:track:0Enb2uwLWzhszdFVvXR9GN,spotify:album:7xbsSOswKgms1fUFuwKArz
BOSS,62,False,210641,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,spotify:album:3KAJvo62RNQEtXwIyB5rzX
"String Quartet in C Major, Op. 74, No. 1: III. Menuetto, Allegretto",2,False,284640,spotify:track:0EspVDVsYSaURv8yiilNxJ,spotify:album:1rNGG2I3AKJy9FWqUiitkc
All I Ask Of You - Reprise,35,False,203093,spotify:track:0F8VLTQGhNjBi1ltbVerdE,spotify:album:36bEg6FTBaZGLg9ngJZIU6
Best Friend (with SEULGI),43,False,210733,spotify:track:0F9Xy6OTbkqOv94pklkwKu,spotify:album:1Ao5vWPO13f4l0ldwxOKL7
"Ballade No. 3 In A-Flat Major, Op. 47",32,False,451826,spotify:track:0FBJ5Ctk5r4wlVJsFoV8Ta,spotify:album:5c9v5oU43Oo22MSG8EKFp2
"String Quartet No. 4 in C Minor, Op. 18 No. 4: III. Menuetto (Allegro) - Trio",2,False,208933,spotify:track:0FDBvZ6wjjGW15jlH3vVFt,spotify:album:4JhUG1lr4xztAcqyA0Jm3a
Be In Love,46,False,200033,spotify:track:0FGeJSm4Iix7OdvjvENrwx,spotify:album:5NN55LKbjzX16a7Uf8u7Os
I Remember / Stranger Than You Dreamt It,36,False,201560,spotify:track:0FwP3tsHCfmMJDe0vEkRUG,spotify:album:36bEg6FTBaZGLg9ngJZIU6
PHOTO,30,False,221786,spotify:track:0GG5yUUUwoyV7I4qx54mmC,spotify:album:4i3Q8eTqefwISi3WltwzAW
Brand New Jones,0,False,289600,spotify:track:0GMJCCfFZpAw9NVnpZjJTV,spotify:album:26eCHp86K2xLQj0B7Cr8he
달라달라 (DALLA DALLA),0,False,199873,spotify:track:0GU5GuJQQEnnREO2FxnVPT,spotify:album:0fUJLlrsG1MpTHr3MxPN9C
Zimzalabim,50,False,190859,spotify:track:0GUbhhI5fRx7BlqlqlhjuB,spotify:album:2nLEiP268mSFZHW5dajM4R
React,10,False,204176,spotify:track:0GWYApQBwErVPkyXYCTJjI,spotify:album:0Dg7mV6QrpSw8b3o45bNkq
Friday (feat.Jang Yi-jeong),53,False,217129,spotify:track:0GsRx0gPft6RmijIwMsKmG,spotify:album:56MqewtCUq5bplrqEYTVL0
"Divertimento In F, K.247: Adagio",1,False,461960,spotify:track:0GxPxabpWTGYQyvxsPLCiM,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
