name,uri,popularity,followers,image_url
Roberte Mamou,spotify:artist:6DsbdauTI2Fn2NN4B1EIUN,19,492,https://i.scdn.co/image/ab67616d0000b2730c88531f06fd93f8e965dd97
BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,55,1380349,https://i.scdn.co/image/ab6761610000e5eb0222fa7cba5da5c28ea5d296
Keith David,spotify:artist:1LPgqTHt7RmHwYtS9KQTMY,42,3116,
ADORA,spotify:artist:3M1kgHOpPruu1uBymBHF3r,42,59742,https://i.scdn.co/image/ab6761610000e5eb49b9d4b917b9e594357a77a7
Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,74,11603962,https://i.scdn.co/image/ab6761610000e5eb5c0d8e50e84ebba5a886481a
Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,77,7083583,https://i.scdn.co/image/ab6761610000e5eb0accbbe13e1aa147dd27671c
Mari Kodama,spotify:artist:0s0wG03kPyu7MXERfcuxim,34,1147,https://i.scdn.co/image/da227efdc2e4be12443dcb5fa1ceb257fd1baf6a
Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,84,43169842,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Jon McLaughlin,spotify:artist:6z29S0IoiBJpSMP8plyCj7,47,127870,https://i.scdn.co/image/ab6761610000e5eba5fc004270bdfc9fee7f55f4
David Tao,spotify:artist:40tNK2YedBV2jRFAHxpifB,52,298151,https://i.scdn.co/image/ab67616d0000b2737c20fb440980c4f2f24346c5
YEJI & RYUJIN of ITZY,spotify:artist:4TYswX6bKUjM9rbEL7CMBH,52,2944,
Auli'i Cravalho,spotify:artist:5mnS9jJdKQQcRSqFu5YPVe,63,93408,https://i.scdn.co/image/b7cb8a2d95ba2ca94fc0e133611b5b680014c52e
HAIM,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,65,1208284,https://i.scdn.co/image/ab6761610000e5eba688abfbbed1037befa47232
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj,72,5372130,https://i.scdn.co/image/ab6761610000e5ebc1c077c305eb4b2bcac25fd5
ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,76,21195503,https://i.scdn.co/image/ab6761610000e5eb9fbf7133dfc04d4cd44ccd36
John Savident,spotify:artist:2V0W4YzPCESOh86ss7D2QE,24,7,
K/DA,spotify:artist:4gOc8TsQed9eqnqJct2c5v,65,1598654,https://i.scdn.co/image/ab6761610000e5ebdc1dc943555dfa1ee2a107e5
Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM,74,4907978,https://i.scdn.co/image/ab6761610000e5eb7a487027eb0c10af725d5410
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,85,37638620,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b
Students,spotify:artist:7oaoEBdRqHXfoiGYa55Atp,44,544,https://i.scdn.co/image/ab67616d0000b27350a8f03cc6bd438ca8d306db
