tag,artist_mbid,mb_tag
,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,alliteration
,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,alliteration
,2882ffa3-dec9-4055-a842-a950728bcb02,aln-sh
,351d8bdf-33a1-45e2-8c04-c85fad20da55,aln-sh
,3c714102-94d8-42f4-9005-fb8a75c2766d,aln-sh
,47139311-ab97-4552-845a-647a2ec57098,aln-sh
,4d5447d7-c61c-4120-ba1b-d7f471d385b9,aln-sh
,54799c0e-eb45-4eea-996d-c4d71a63c499,aln-sh
,5a2463af-eef0-4a22-bc8f-5865fbe9c78e,aln-sh
,64b94289-9474-4d43-8c93-918ccc1920d1,aln-sh
,ba1bf556-2af2-4772-835f-ed2e15070758,aln-sh
,f37c537b-3557-4031-bfd6-ab63ced32854,aln-sh
,fa34cdba-61fa-4777-bbc7-f4ef40047f7b,aln-sh-n
,0306016b-331c-4519-b51e-f11dfc217455,alt-country
,c44e9c22-ef82-4a77-9bcd-af6c958446d6,alt-country
,5e2c9a0d-d21d-4b56-8bdb-43e01169c91b,alternative
,65380f7e-cb7a-4594-ae44-28ff55160746,alternative
,ad7b6571-9832-4aa1-8e58-d345d9ee06c0,alternative
,b7539c32-53e7-4908-bda3-81449c367da6,alternative
,c5ce487b-0462-444e-a184-4de0fef7e028,alternative
,d02dd67e-f655-4600-bc47-f789f59e7367,alternative
,3248ed2d-bada-41b5-a7b6-ac88faa1f1ac,alternative country
,baf05baf-69fb-47dd-93c2-033536b8c385,alternative country
,2c6c53ea-09d4-4d98-b174-c9aa83d4fecf,alternative dance
,9c306413-56b6-4ff6-982a-7e4b87d01340,alternative dance
,9c9f1380-2516-4fc9-a3e6-f9f61941d090,alternative dance
,96855c21-b832-4366-ba12-0d2330c36a86,alternative folk
,5751a689-8b70-4ba0-a9e6-f8a10f4f8531,alternative hip hop
,9436fbf8-5498-43e9-9a8d-eccbe53df6ad,alternative hip hop
,a47c3aa2-7d87-475c-a2c7-1e2047dafb09,alternative hip hop
,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,alternative hip hop
,d02dd67e-f655-4600-bc47-f789f59e7367,alternative hip hop
,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,alternative hip hop
,0923598e-2b97-4527-b984-5feed94c168d,alternative metal
,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,alternative metal
,60fd91c9-d22c-4775-9ac6-7993fdf1c81d,alternative metal
,65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,alternative metal
,7ee89158-3446-4044-bb88-0dcc4d4cd6c0,alternative metal
,ab4625d4-9947-481c-af95-5955b0b13023,alternative metal
,b5179744-f217-4455-9d8b-17b8d4fdeb93,alternative metal
,b7ffd2af-418f-4be2-bdd1-22f8b48613da,alternative metal
,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,alternative metal
,1882fe91-cdd9-49c9-9956-8e06a3810bd4,alternative pop
,2c6c53ea-09d4-4d98-b174-c9aa83d4fecf,alternative pop
,2f3c4d70-0462-40da-bba3-0aec5772c556,alternative pop
,3377f3bb-60fc-4403-aea9-7e800612e060,alternative pop
,3abc7470-3d67-4272-a24c-439f411b42eb,alternative pop
,4bdcee62-4902-4773-8cd1-e252e2e31225,alternative pop
,52494f9b-789d-4467-bcaf-9915e70cc8f6,alternative pop
,56a55378-f155-48de-80a5-d80104221267,alternative pop
,6f6fd596-76e0-4b82-aa37-f558ac2d337b,alternative pop
,7441014f-f8f5-494f-81db-ff166fbc078d,alternative pop
,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,alternative pop
