artist_mbid,other_mbid,relationship_type
0a677f0b-020a-41d5-a649-07552ed4df4e,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0a8b5299-6bee-4fe0-8b1d-6ed528db0b24,6ef00829-fa94-4fee-a5a6-b28e1208e96a,member of band
0acda0f2-09ab-49fc-b1c8-ad8e534134be,69689acf-d9cd-4d20-a972-47db4ed51b1a,member of band
0aeb412e-c628-4f16-978b-2c83011f9949,46e4a08f-d19d-47a3-8ac1-a59fe978f6a0,member of band
0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,d11d612b-86a1-438a-b89a-2544cdce885e,is person
0b192960-b76d-4228-b6bc-1148a6dee913,c4f88022-c899-46cd-81b9-6e0c3409b60b,member of band
0b2e8e37-5fdd-4303-a24f-62870efb5db2,9102bdf6-b03e-4470-9f78-12127c4995cc,member of band
0b2f6ad8-0b66-4d94-b080-966c7c60e485,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0b406e6d-a81b-45ee-bef2-2df2a6c63859,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,member of band
0b5312ef-c356-4341-9b1d-103cd481b548,160629ab-ec18-4931-8c95-02cb92d06186,member of band
0b633b29-8fb4-40fe-995e-af55cd53d881,efb06bae-3b56-44fa-9462-31deee5f2f18,member of band
0b90edf0-e14a-4476-a601-152afc13b6da,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0baaa6f6-1709-47af-bb75-e9559c0ebaa2,721a6d4e-6c5b-4250-8e87-b5dc386fd965,member of band
0bc6d6e7-0858-4b73-a079-7aa681095f98,c33c2065-b1c3-4406-b066-d33a9e2ea71a,member of band
0c396edf-b45a-4323-b951-04cce89444d3,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0c447b22-cfb6-4ee5-8925-0f62e5a31cda,99689c05-4f6d-4bff-9b00-06731277fe42,member of band
0c720022-fdd2-4b9f-a73a-245c1362fb5f,142b343d-bf5a-428c-a64f-6d1a7566bbe9,member of band
0c7c672d-626d-4337-ac2c-9a06fbec476f,5170d616-35cc-4c29-a9a3-4435128b397b,is person
0c821321-5fe9-4c13-92ed-760f9f248103,a1eba844-8c3e-4c61-8f54-f5e086b58c01,member of band
0c9c9683-0d1a-4d14-90f3-beb0fe4fcfd7,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0cb8032b-3b7a-4686-8e8f-940286c5607b,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,member of band
0cce4ad9-35d3-486e-b325-98b7afc2bce9,b2f2216a-d7a9-4ce0-8b8f-f494d9a8c196,member of band
0cfcb681-6542-47b6-b3c0-4b28dc058d8f,9102bdf6-b03e-4470-9f78-12127c4995cc,member of band
0d00b498-512d-4a4d-9234-a4d710f37e6d,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,member of band
0d212894-db54-4cc1-9ded-3cac50183a1d,66c662b6-6e2f-4930-8610-912e24c63ed1,member of band
0d341f39-a9c4-44b6-9373-216674b37f74,900ab237-327b-44e2-87e4-73250bbe025a,member of band
0d40a384-e448-4859-b13a-b14392b5e725,d2f27332-85fe-4f61-9849-59be697e6a24,member of band
0d4ab0f9-bbda-4ab1-ae2c-f772ffcfbea9,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,member of band
0d4adbb4-62e3-4733-84a5-5ad929786823,8bfac288-ccc5-448d-9573-c33ea2aa5c30,member of band
0d5c70ee-5aa1-4ce1-a974-7e1044dd0135,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0d69ebbe-02bb-43a7-bee2-47d6c098bc6b,b071f9fa-14b0-4217-8e97-eb41da73f598,member of band
0d6ddac4-e2da-496c-99f3-6ba9b971447e,40017bd7-139b-4998-8688-9b2478ad3325,member of band
0d9a912c-eadc-41d2-b1b3-977b1b553f54,a13898e2-e488-498e-a89c-d0e920f74d4d,member of band
0dfd6aab-9056-4764-89b0-80bee7c9f998,9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa,member of band
0dfd6aab-9056-4764-89b0-80bee7c9f998,b7ffd2af-418f-4be2-bdd1-22f8b48613da,member of band
0e10f243-92e1-4c5b-a4ea-c87a2e5ff54c,80c72415-d26a-4f49-b13e-544e50b8c188,member of band
0e10f243-92e1-4c5b-a4ea-c87a2e5ff54c,9c15986d-ff1f-4d91-9708-f50f7445884f,member of band
0e145129-bbf7-4e0a-807b-ac9cfe52c636,cbe629e3-fbbd-4071-9e12-4c5074c2231b,member of band
0e2432f2-1c94-44f3-bc11-8481fe3016c0,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0e836970-026e-4918-98ff-8d8f161511b9,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0ed9a07c-f0ec-4466-a584-5ce6b6f74b86,0976dbd8-e7fe-4161-9a49-58c57f7a7787,member of band
0edfb670-e666-41a6-b4e3-141d32944c9e,0a258adc-6f2c-41b1-8c4c-73782e320b9b,is person
0ef9b4c4-4a41-4ad8-9c64-98c0419c0150,7364dea6-ca9a-48e3-be01-b44ad0d19897,member of band
0f1d5b01-8784-4870-9bd6-fa43178b9441,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,member of band
0f50beab-d77d-4f0f-ac26-0b87d3e9b11b,83d91898-7763-47d7-b03b-b92132375c47,member of band
0f61769f-b2f7-4e78-8b21-c41ec3d12577,c4f88022-c899-46cd-81b9-6e0c3409b60b,member of band
0f69760b-e0e6-4cf4-ae47-24fb0ace538a,3f5be744-e867-42fb-8913-5fd69e4099b5,member of band
0f7534a6-dc5f-46ca-a2e0-13d214cdd52b,037d829c-f005-48a4-a8f0-c95d46cd2e0f,is person
0f7534a6-dc5f-46ca-a2e0-13d214cdd52b,1fda852b-92e9-4562-82fa-c52820a77b23,member of band
0f7d7848-59b6-43c4-af92-b76b1a799628,1a487104-8f06-46f4-96e2-30a90b4c4430,member of band
0fad358b-6147-46fc-be41-032500786ed1,57f1cdd6-cf32-4004-a095-3ef043c91b61,member of band
0faf1e67-486d-49d6-9e63-ab5a0a7dd637,160629ab-ec18-4931-8c95-02cb92d06186,member of band
0fb3fc56-9002-47ac-bec2-d8a2b87ad926,ea6c62ec-701e-4f01-bbcc-adfad2d3be70,member of band
0fc94bbf-d10e-4b43-96ac-6a992b781d7a,08306695-0943-4f91-be93-a39ce7a7804f,member of band
0fddcd6c-9dc3-4af2-ae65-6b839b5600aa,abd506e1-6f2b-4d6f-b937-92c267f6f88b,member of band
0ff1d66f-40bf-493e-91ea-87782abb5e32,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
1003d63d-e833-459d-aac6-605f5444b284,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,member of band
104a862c-2e7f-4d74-a306-84e901d98804,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
104c4233-f393-4ce9-a9f4-cd9f84426925,f492a112-64fa-48f4-89fe-524cab8dd3b8,member of band
105d7350-2f4b-4d4b-8e2c-d51f81eb3202,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,member of band
106573ab-00df-48fe-a022-7cced047923e,fe038151-1099-4de8-901b-39be66d6e493,member of band
107760dd-ce1f-463f-9bb0-d42d13a30657,4b6d680e-6461-4662-9551-5f3df7cde494,is person
