artist_mbid,artist_mb_name,artist_sort_name,artist_disambiguation,artist_type,artist_area,artist_birthplace,artist_start_date,artist_end_date,artist_gender
cda95854-a506-4cb6-b246-2202e010b213,Ali Helnwein,Ali Helnwein,,Unknown,,,,,
cdac77b2-6c02-4c9e-baf8-a68d122edf69,emmy kasai.,"kasai., emmy",,Unknown,,,,,
cdadfa81-7f9a-4c41-a1e2-43e63b863dad,Takeruru,Takeruru,,Person,Japan,,,,
cdb88f5b-d199-4cb4-b0d9-bfe0ab181bae,지선,Jiseon,member of Girl's Day,Person,South Korea,,1989-02-07,,Female
cdcd53c9-f37c-48cc-b7e3-dfe34be22e92,Peter Cetera,"Cetera, Peter",,Person,United States,Chicago,1944-09-13,,Male
cdceb442-10ad-4a5a-a841-ca4e4a244e2d,주니,Zuny,member of Ladies' Code,Person,South Korea,Gwangju,1994-12-08,,Female
cdcf1456-db8a-45d5-aabb-340565f8815e,Seth Morton,"Morton, Seth",engineer,Person,United States,,,,Male
cdd44f71-9702-433a-ab21-955667284ac3,Brent Kutzle,"Kutzle, Brent",,Person,United States,,1985-08-03,,Male
cde00e4b-d858-4ba4-b231-8c95228e4b34,SOHLHEE,SOH LHEE,South Korean Rapper and songrwitter,Person,South Korea,South Korea,1994-11-11,,Female
cde05af9-065c-455f-beb3-a7bde78c646b,Alex Ligertwood,"Ligertwood, Alex",,Person,United Kingdom,Glasgow,1946-12-18,,Male
cde3f7f4-bc6f-460a-a645-e05147a858f9,ภริตา,Pharita,,Person,Thailand,Bangkok,2005-08-26,,Female
cde6ac66-ffdf-4f80-8dda-7a40e7b16972,Henning Schmitz,"Schmitz, Henning",,Person,Germany,Germany,1953-12-26,,Male
cde9f1f8-f037-46d4-90fa-064966bdc6de,임준혁,"Lim, Jun-hyeok",,Person,South Korea,,,,Male
cdecffd0-a7dc-465f-904f-218fed92fdf6,DYSON,DYSON,feat. artist from “Feel Like Home”,Person,London,,,,Female
cded24f3-361e-4179-8f26-4209479f6187,Loossemble,Loossemble,,Group,South Korea,Seoul,2023-08-01,,
cdfa6a42-6da2-4035-8ecb-0002e1c40da3,범규,BEOMGYU,,Person,South Korea,Daegu,2001-03-13,,Male
cdfe55d9-fc3d-4ede-be9b-170cc278006f,송희진,"Song, Hee-jin",,Person,South Korea,Seoul,1995-09-05,,Female
ce08fe7b-89f5-4330-9cd9-fe5f2d60e20f,J. Rey Soul,J. Rey Soul,,Person,Philippines,,,,Female
ce09ea31-3d4a-4487-a797-e315175457a0,Tyga,Tyga,,Person,United States,Compton,1989-11-19,,Male
ce2d69ba-e012-48c9-8af5-6654f0fbb425,増山加弥乃,"Masuyama, Kayano",,Person,Japan,Tokyo,1994-02-10,,Female
ce315054-44d5-410e-8f41-d98b0fe4b299,민아,Minah,Girl's Day,Person,South Korea,Incheon,1993-05-13,,Female
ce457d6e-88cd-49af-ba5a-8a52662661b1,장승연,"Chang, Seung-yeon",,Person,South Korea,Seongnam,1996-11-06,,Female
ce4ac8bb-1a0a-4a8c-87bd-910015650ac8,阿部芽唯,"Abe, Mei",,Person,Japan,Shimane,2001-02-09,,Female
ce4f4fa7-3637-4dda-9d42-aca5de027883,Pyungwook Lee,"Lee, Pyungwook",,Person,South Korea,,,,
ce502e1d-15dc-44d5-9887-56218c92530c,신나리,"Shin, Na Ri",,Person,South Korea,,,,Female
ce5803c7-54af-4859-8dd2-61edd7c495b3,Markus Dravs,"Dravs, Markus",,Person,United Kingdom,Germany,,,Male
ce5c7545-24d8-486a-91b6-1887bc875b88,WHERE THE NOISE,WHERE THE NOISE,,Unknown,,,,,
ce71838c-4325-4ae0-8f55-a0a873354c10,조영덕,"Jo, Young-deok",,Person,South Korea,,,,
ce735397-037f-4b2b-8156-3a5bd9f2efb4,Christoph Andersson,"Andersson, Christoph",,Person,,,1992,,Male
ce73ddc7-c2b9-429f-b697-fa9666c66d92,Sami Vänskä,"Vänskä, Sami",,Person,Finland,Finland,1976-09-26,,Male
ce74d16c-be5a-4c8b-9215-0a9eb4bc5afe,Alvertis Isbell,"Isbell, Alvertis",,Person,United States,Brinkley,1940-03-15,,Male
ce7e026a-64cf-4cab-b6c5-901b66b672e8,Lisa Coleman,"Coleman, Lisa",US pianist/keyboardist & composer,Person,United States,Los Angeles,1960-08-17,,Female
ce84b6fd-5b7d-4a8f-8552-b991c65c0748,Gabriel Roth,"Roth, Gabriel",,Person,,,,,Male
ce880c70-6a7f-49e1-a0dd-77da59d599dc,Paul Leim,"Leim, Paul",,Person,United States,Troup,1950-12-29,,Male
ce88f608-e279-4455-a7e4-edac93832e8e,Anne Judith Wik,"Wik, Anne Judith",,Person,Norway,,,,Female
ce930a7a-c7ad-49e2-8832-58cdfc2feb90,이승주,Lee Sung-joo,arranger,Person,South Korea,,,,Male
ce97471b-3b64-4077-8940-08b05b520a9e,Dan Warner,"Warner, Dan","producer, writer and studio guitarist",Person,United States,,1970,2019-09-04,Male
cea4b92f-ca66-4534-aac7-f03322ae530f,Sunshine,Sunshine,Cazzi Opeia & Ellen Berg,Group,,,,,
cebef2c4-a8b1-4c02-b4e1-1fd60a8e4af3,Ellen Foley,"Foley, Ellen",,Person,United States,St. Louis,1951-06-05,,Female
cebf1e79-6e80-405f-8e3d-1bfef1df89fc,David Williams,"Williams, David",session guitarist and songwriter,Person,United States,Newport News,1950-11-21,2009-03-06,Male
cecc42fb-9657-4b54-ad2f-7b73eefaef12,Ailee,Ailee,,Person,South Korea,Denver,1989-05-30,,Female
ced3bbe4-1413-45ad-bef3-ebc3b17c4c6a,Todd Sucherman,"Sucherman, Todd",,Person,United States,,1969-05-02,,
cf042013-3edd-46c4-9b0e-a62faac98d0b,Funkadelic,Funkadelic,,Group,United States,Plainfield,1968,1981,
cf08e1ef-aff3-4f8a-a90e-36028f77681a,Robbie Lackritz,"Lackritz, Robbie",,Person,,,,,Male
cf0dbc16-4e24-4957-b5b4-955c8978f690,ATEEZ,ATEEZ,,Group,South Korea,Seoul,2018-10-24,,
cf1280fd-8d52-4871-bb8b-021fcc9add4f,Mike Stone,"Stone, Mike","producer, enginner, UK, 60’s–80’s",Person,United Kingdom,United Kingdom,1951,2002-06,Male
cf162058-a373-44a5-be95-e7fd2e4cd045,Bruce Watson,"Watson, Bruce",Guitarist with the group Foreigner,Person,,,,,Male
cf206ca3-2753-4d97-83ec-5e2c3ab86b60,みゆ,MiU,LIMELIGHT,Person,South Korea,Tokyo,2003-01-09,,Female
cf32cd72-76ee-4a2e-822d-ea675449227f,Nick Monson,"Monson, Nick",,Person,United States,,,,Male
cf3bab56-feda-41ec-9aef-a9a31b1ad97e,Andreas Carlsson,"Carlsson, Andreas",pop songwriter,Person,Sweden,Danderyd municipality,1973-04-03,,Male
cf3ea6e9-c856-4737-a988-6b64cc9f2bf2,Eddie Kendricks,"Kendricks, Eddie",,Person,United States,Union Springs,1939-12-17,1992-10-05,Male
